user_id,install_date,country,device,session_count,ttp,last_moment,unit_count,revenue,try_1,try_2,try_3,win_1,win_2,win_3,days_active
SFZJ1C-QEF852-KY9HWV,2016-10-01,BR,iPhone,5,594,1475347516,NULL,NULL,2.0,8.0,0.0,1.0,6.0,0.0,1
5CJK38-NL0G54-IYNE1A,2016-10-02,GB,iPad,1,82,1475438015,NULL,NULL,0.0,2.0,0.0,0.0,2.0,0.0,3
OKM9QD-AIRMYO-QOP2SA,2016-10-02,US,iPad,9,1215,1475430916,NULL,NULL,0.0,15.0,0.0,0.0,3.0,0.0,4
E0AK2I-Y79BKA-XN4FU2,2016-10-01,TR,iPhone,1,220,1475349423,NULL,NULL,1.0,5.0,0.0,0.0,4.0,0.0,3
1G0TBP-ZKQIFX-RVB7FE,2016-10-02,US,iPhone,1,662,1475449477,NULL,NULL,1.0,9.0,0.0,1.0,8.0,0.0,2
HIUQRS-B9XWG1-AP3JBM,2016-10-02,US,iPad,2,1069,1475372029,NULL,NULL,1.0,17.0,0.0,1.0,4.0,0.0,3
J7843F-UDAG57-C50RFL,2016-10-01,FR,iPhone,6,2210,1475363792,NULL,NULL,5.0,19.0,2.0,5.0,19.0,2.0,5
UY6TZK-4RIAMU-E8MKYF,2016-10-02,US,iPhone,2,26,1475370613,NULL,NULL,0.0,1.0,0.0,0.0,1.0,0.0,1
WULXJ4-8EG6ZF-2678VW,2016-10-02,GB,iPad,3,682,1475433167,NULL,NULL,2.0,8.0,0.0,1.0,4.0,0.0,1
I97A50-M4NX3I-YEWIXO,2016-10-01,BR,iPhone,4,2470,1475363396,1,13.59,6.0,17.0,0.0,4.0,13.0,0.0,8
L8BQOS-7JNDU6-76825A,2016-10-02,US,iPhone,9,5053,1475421773,NULL,NULL,58.0,6.0,1.0,47.0,6.0,1.0,8
UE8TAR-0NLHRD-75N83K,2016-10-01,US,iPad,7,2804,1475359760,NULL,NULL,9.0,37.0,1.0,6.0,24.0,1.0,7
6LTENU-8BPCZK-P74C1W,2016-10-02,GB,iPhone,4,2972,1475429400,NULL,NULL,2.0,26.0,0.0,1.0,11.0,0.0,3
T6NXSF-GBU06M-C7UYNA,2016-10-01,US,iPhone,3,1000,1475356731,NULL,NULL,10.0,6.0,0.0,3.0,4.0,0.0,2
6VOJEU-TZMEHX-0AWXGR,2016-10-01,GB,iPad,5,397,1475353947,NULL,NULL,0.0,3.0,0.0,0.0,1.0,0.0,3
Y7FMVC-1JUV8L-6XVQ9U,2016-10-01,US,iPhone,5,3099,1475359338,NULL,NULL,26.0,19.0,2.0,10.0,15.0,1.0,1
U9MDJR-UDQ3HR-T45C2N,2016-10-01,GB,iPhone,3,1800,1475345222,NULL,NULL,0.0,40.0,0.0,0.0,2.0,0.0,3
LU4H6I-2PJNVB-49GNY8,2016-10-02,BR,iPhone,3,797,1475380462,NULL,NULL,1.0,10.0,0.0,1.0,6.0,0.0,3
PRWQV3-X19Z2O-L5G2PW,2016-10-02,GB,iPad,1,1315,1475391902,NULL,NULL,1.0,21.0,0.0,1.0,14.0,0.0,1
2WX48D-7VTZYU-0645WS,2016-10-02,US,iPhone,1,6,1475380102,NULL,NULL,0.0,0.0,0.0,0.0,0.0,0.0,1
LQJU0B-YLJWFZ-OQDM4T,2016-10-01,TR,iPhone,1,450,1475352859,NULL,NULL,1.0,9.0,0.0,1.0,7.0,0.0,1
JTAM41-YF3GDR-V2FLRX,2016-10-02,FR,iPhone,8,7408,1475444225,NULL,NULL,29.0,28.0,3.0,23.0,17.0,2.0,8
ICYAB5-QV9DMC-HA9EVG,2016-10-02,US,iPod touch,26,4201,1475447995,NULL,NULL,6.0,45.0,6.0,6.0,38.0,5.0,4
YQJ2RM-JBCDRA-DORNUX,2016-10-01,BR,iPhone,1,371,1475325074,NULL,NULL,0.0,4.0,0.0,0.0,4.0,0.0,1
E803CB-MYROVZ-41EP5S,2016-10-01,GB,iPod touch,1,262,1475329782,NULL,NULL,1.0,4.0,0.0,1.0,4.0,0.0,1
ZTPQK1-T2AIK3-87Z2LU,2016-10-02,TR,iPhone,11,2900,1475438243,NULL,NULL,5.0,52.0,0.0,4.0,28.0,0.0,3
348MV0-20H48K-MVAEOT,2016-10-01,US,iPad,1,672,1475353521,NULL,NULL,7.0,5.0,0.0,3.0,4.0,0.0,5
0QTR5D-6K0ZVY-4QFYDS,2016-10-02,BR,iPhone,7,2901,1475452781,NULL,NULL,2.0,24.0,2.0,2.0,19.0,2.0,8
E9W8UB-AOVMQN-MED73J,2016-10-01,TR,iPhone,2,1951,1475317206,NULL,NULL,10.0,25.0,3.0,10.0,25.0,3.0,1
4WYP6L-NZPK6O-8EN92S,2016-10-01,US,iPhone,4,1176,1475361010,NULL,NULL,1.0,12.0,0.0,1.0,8.0,0.0,1
ZJW0VI-KCJW9B-3MWDPN,2016-10-01,TR,iPhone,1,839,1475346191,NULL,NULL,3.0,11.0,0.0,2.0,10.0,0.0,7
5KAZQN-MY3ZX9-O8HA3Z,2016-10-01,BR,iPhone,6,2484,1475353038,NULL,NULL,6.0,33.0,0.0,3.0,NA,0.0,1
U3XF1H-TPKGRZ-LH4DKO,2016-10-01,GB,iPhone,1,601,1475355765,NULL,NULL,4.0,8.0,0.0,3.0,5.0,0.0,2
QZGJ8X-ZDNF1S-9I58XE,2016-10-02,FR,iPhone,8,1790,1475450007,NULL,NULL,1.0,30.0,1.0,1.0,22.0,1.0,4
Z709SX-2H4830-1YAIJZ,2016-10-02,FR,iPhone,8,2162,1475413909,NULL,NULL,2.0,18.0,0.0,1.0,7.0,0.0,1
8KGXY0-9ZRM8T-HKLPCY,2016-10-01,US,iPhone,2,245,1475356590,NULL,NULL,0.0,2.0,0.0,0.0,1.0,0.0,2
UN765L-YK0MNL-XK0TLU,2016-10-01,GB,iPad,6,2084,1475352905,NULL,NULL,1.0,39.0,0.0,1.0,21.0,0.0,2
NELX10-1DRPNS-SACZ01,2016-10-01,US,iPhone,1,954,1475366205,NULL,NULL,9.0,12.0,0.0,4.0,5.0,0.0,2
4JWKMG-FIZLPW-5FEM2U,2016-10-01,US,iPad,1,1432,1475290019,NULL,NULL,1.0,22.0,0.0,1.0,13.0,0.0,6
MOWKNG-MRT3F8-SJICP8,2016-10-02,US,iPhone,3,1359,1475451492,NULL,NULL,4.0,9.0,0.0,2.0,7.0,0.0,2
VR5H3L-2PTZBE-2BNW79,2016-10-01,US,iPhone,3,959,1475339530,NULL,NULL,1.0,11.0,2.0,1.0,10.0,1.0,7
6TYPVL-MNJ9OC-EQLSFJ,2016-10-02,FR,iPad,5,1951,1475429895,NULL,NULL,1.0,25.0,0.0,1.0,11.0,0.0,6
5VL1AD-6XNUWA-OBJYVN,2016-10-01,US,iPhone,4,625,1475365214,NULL,NULL,0.0,5.0,0.0,0.0,3.0,0.0,2
IS0TMX-F0RIDL-7VREAX,2016-10-02,US,iPhone,4,1348,1475439757,NULL,NULL,1.0,15.0,0.0,1.0,10.0,0.0,3
N0IFRW-3FHDOE-1HJF8G,2016-10-01,US,iPad,2,137,1475295138,NULL,NULL,0.0,3.0,0.0,0.0,3.0,0.0,1
9NEJGY-D9O0GT-4IT3D7,2016-10-01,FR,iPhone,2,1524,1475364718,NULL,NULL,1.0,15.0,0.0,1.0,7.0,0.0,4
AS0MWI-AZ1Y9U-JMFR4X,2016-10-02,GB,iPhone,3,2189,1475415331,NULL,NULL,4.0,15.0,0.0,2.0,9.0,0.0,1
FQLW4H-M4IF2Z-406FSN,2016-10-02,GB,iPhone,34,6567,1475435665,NULL,NULL,1.0,94.0,7.0,1.0,48.0,5.0,3
W82ZTD-IZADR7-B6SPH2,2016-10-01,US,iPad,33,7090,1475361535,NA,NULL,9.0,20.0,4.0,5.0,13.0,2.0,7
LZ0N8V-I4EKLZ-LXR1JT,2016-10-01,BR,iPhone,2,450,1475336034,NULL,NULL,1.0,7.0,0.0,1.0,6.0,0.0,1
LVA749-054RIV-I6AP89,2016-10-02,US,iPhone,22,4056,1475434129,NULL,NULL,19.0,39.0,4.0,16.0,30.0,4.0,8
2GLY6J-8KNTH7-IPN7FY,2016-10-02,FR,iPhone,5,3504,1475436742,NULL,NULL,17.0,26.0,0.0,6.0,11.0,0.0,4
Z8WPQI-WRYSA9-OE0V4Q,2016-10-02,US,iPhone,2,12,1475395885,NULL,NULL,0.0,0.0,0.0,0.0,0.0,0.0,1
KGEWTH-XC2SWA-CGIXJB,2016-10-01,GB,iPad,3,995,1475304090,NULL,NULL,1.0,17.0,0.0,1.0,8.0,0.0,1
VRI0KP-8B7OEF-QLTABF,2016-10-02,US,iPhone,4,935,1475422557,NULL,NULL,1.0,22.0,0.0,1.0,13.0,0.0,2
0S6AQO-DKSXO8-9RDTSY,2016-10-01,TR,iPhone,6,2010,1475355547,NULL,NULL,1.0,35.0,0.0,1.0,19.0,0.0,6
N64XRU-6OFZB2-S4DLR9,2016-10-01,BR,iPhone,1,467,1475283529,NULL,NULL,0.0,4.0,0.0,0.0,3.0,0.0,1
5LDR8H-PJO4S5-QJW0FP,2016-10-01,FR,iPhone,2,1193,1475355513,NULL,NULL,1.0,19.0,0.0,1.0,12.0,0.0,1
EMOQS8-0YARH7-K9YJVZ,2016-10-01,US,iPad,1,340,1475328117,NULL,NULL,2.0,6.0,0.0,1.0,4.0,0.0,1
5GSIX2-4XLZQJ-RF0A83,2016-10-02,US,iPhone,1,4,1475380639,NULL,NULL,0.0,0.0,0.0,0.0,0.0,0.0,1
DNFYSR-LT2XCZ-IGH8NO,2016-10-01,FR,iPhone,3,3306,1475286564,NULL,NULL,15.0,14.0,2.0,7.0,13.0,2.0,3
FTB76N-FPTGNY-YJ7BSA,2016-10-02,FR,iPhone,2,170,1475428697,NULL,NULL,0.0,3.0,0.0,0.0,3.0,0.0,1
DZ2GRB-V5KY9Z-KGMXIV,2016-10-02,US,iPhone,1,283,1475369191,NULL,NULL,1.0,6.0,0.0,1.0,4.0,0.0,1
JSVA83-351L4D-HSA4JR,2016-10-01,TR,iPhone,4,1803,1475356988,NULL,NULL,1.0,26.0,3.0,1.0,17.0,3.0,8
MR0IJP-6IM3SK-BT2R1K,2016-10-02,US,iPhone,1,287,1475392583,NULL,NULL,1.0,5.0,0.0,0.0,4.0,0.0,1
